Commodity,Category,pH,Moisture_Content,Storage_Temperature,Respiration_Rate,Oxygen_Sensitivity,Moisture_Sensitivity,Light_Sensitivity,Typical_Shelf_Life,Recommended_Packaging,Packaging_Reason,Farmer_Action,
Pecan,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Pistachio,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Hazelnut,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Macadamia,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Brazil nut,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Pine nut,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Chestnut,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Peanut kernels,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Peanut butter,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Sesame seed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
White sesame,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Black sesame,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Sunflower seed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Pumpkin seed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Flaxseed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Chia seed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Hemp seed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Mustard seed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Canola seed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Rapeseed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Cottonseed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Safflower seed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Soybean seed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Palm kernel,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Coconut,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Coconut meat,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Coconut flakes,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Coconut desiccated,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Tiger nut,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Lotus seed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Watermelon seed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Melon seed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Apricot kernel,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Bitter almond,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Poppy seed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Nigella seed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Perilla seed,Nuts & oilseeds,5.0–7.0,3–12%,0–15°C,Low,High,Medium–High,High,3–12 months,High-barrier oxygen/moisture laminate or vacuum pack,Slows oxidation/rancidity and moisture uptake.,"Store clean, dry kernels away from heat/light; use low-oxygen packaging for longer storage.",
Black pepper,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
White pepper,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Green peppercorn,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Long pepper,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
Chili pepper dried,Spices & culinary herbs,4.5–7.0,5–12%,15–25°C,N/A (dried),Medium–High,High,High,6–24 months,"High-barrier sealed pouch resistant to moisture, oxygen and light","Protects aroma, volatile oils, color and quality from humidity, oxygen and light.","Dry completely, prevent moisture pickup and store sealed away from direct sunlight.",
